"ID"	"largest_party"	"largest_party_percent"	"valdeltagande"	"KLARA_VALDISTRIKT"	"ALLA_VALDISTRIKT"	"MANDAT_M"	"MANDAT_ANDRING_M"	"ROSTER_M"	"PROCENT_M"	"PROCENT_ANDRING_M"	"MANDAT_C"	"MANDAT_ANDRING_C"	"ROSTER_C"	"PROCENT_C"	"PROCENT_ANDRING_C"	"MANDAT_FP"	"MANDAT_ANDRING_FP"	"ROSTER_FP"	"PROCENT_FP"	"PROCENT_ANDRING_FP"	"MANDAT_KD"	"MANDAT_ANDRING_KD"	"ROSTER_KD"	"PROCENT_KD"	"PROCENT_ANDRING_KD"	"MANDAT_S"	"MANDAT_ANDRING_S"	"ROSTER_S"	"PROCENT_S"	"PROCENT_ANDRING_S"	"MANDAT_V"	"MANDAT_ANDRING_V"	"ROSTER_V"	"PROCENT_V"	"PROCENT_ANDRING_V"	"MANDAT_MP"	"MANDAT_ANDRING_MP"	"ROSTER_MP"	"PROCENT_MP"	"PROCENT_ANDRING_MP"	"MANDAT_SD"	"MANDAT_ANDRING_SD"	"ROSTER_SD"	"PROCENT_SD"	"PROCENT_ANDRING_SD"	"MANDAT_FI"	"MANDAT_ANDRING_FI"	"ROSTER_FI"	"PROCENT_FI"	"PROCENT_ANDRING_FI"
"1082"	"S"	"S"	"84,2"	18	18	0	0	3842	18.7	-7.4	0	0	989	4.8	-0.2	0	0	605	2.9	-2.4	0	0	633	3.1	-0.4	0	0	7978	38.8	1.1	0	0	1019	5	-1	0	0	1142	5.6	-0.6	0	0	3813	18.5	9.2	0	0	406	2	1.8
"0583"	"S"	"S"	"85,6"	25	25	0	0	5170	18.6	-5.3	0	0	1397	5	0.4	0	0	1230	4.4	-1.8	0	0	1048	3.8	-0.8	0	0	11125	40	-3.2	0	0	1339	4.8	-0.6	0	0	1328	4.8	-0.3	0	0	4528	16.3	10.6	0	0	378	1.4	1.2
"2582"	"S"	"S"	"84,4"	22	22	0	0	2807	15.3	-5.5	0	0	676	3.7	0	0	0	736	4	-0.7	0	0	528	2.9	-0.3	0	0	8557	46.5	-3.6	0	0	1222	6.6	-1.3	0	0	649	3.5	-0.6	0	0	2747	14.9	10.4	0	0	358	1.9	1.7
"1881"	"S"	"S"	"85,5"	10	10	0	0	2367	17.9	-5.4	0	0	670	5.1	-0.1	0	0	649	4.9	-1.4	0	0	768	5.8	-1.1	0	0	5058	38.3	-2.9	0	0	560	4.2	0.1	0	0	645	4.9	0.3	0	0	2153	16.3	9.1	0	0	218	1.7	1.5
"1442"	"S"	"S"	"86,8"	7	7	0	0	1298	18	-5.1	0	0	867	12.1	0.1	0	0	312	4.3	-3.9	0	0	751	10.4	-2.8	0	0	2007	27.9	1.2	0	0	307	4.3	0.3	0	0	369	5.1	-1	0	0	1131	15.7	9.9	0	0	101	1.4	1.2
"1427"	"M"	"M"	"83,5"	5	5	0	0	1928	31.5	-7.3	0	0	322	5.3	0.7	0	0	414	6.8	-1.5	0	0	327	5.3	-2.7	0	0	1787	29.2	1.6	0	0	239	3.9	0.1	0	0	227	3.7	-0.5	0	0	755	12.3	8.2	0	0	104	1.7	1.5
"2281"	"S"	"S"	"84,6"	53	53	0	0	12407	19.7	-6.6	0	0	3322	5.3	0.1	0	0	2813	4.5	-2.2	0	0	2150	3.4	-0.5	0	0	26151	41.4	2.8	0	0	3538	5.6	-0.4	0	0	3184	5	-1.1	0	0	7416	11.7	6.3	0	0	1603	2.5	2.2
"2361"	"S"	"S"	"80,5"	10	10	0	0	1113	17	-5.1	0	0	690	10.5	1	0	0	135	2.1	-1.8	0	0	127	1.9	-0.4	0	0	2851	43.4	-1.4	0	0	335	5.1	-0.9	0	0	179	2.7	-1	0	0	998	15.2	8.3	0	0	93	1.4	1.3
"0305"	"M"	"M"	"86,3"	10	10	0	0	4199	33.8	-8.7	0	0	607	4.9	-0.1	0	0	605	4.9	-2.3	0	0	532	4.3	-0.4	0	0	3202	25.8	0.8	0	0	419	3.4	0.3	0	0	677	5.5	0	0	0	1849	14.9	9	0	0	191	1.5	1.3
"0330"	"M"	"M"	"82,1"	8	8	0	0	2736	30.7	-7.8	0	0	727	8.1	-1.3	0	0	580	6.5	-3.2	0	0	596	6.7	-0.4	0	0	1955	21.9	2.9	0	0	345	3.9	0.5	0	0	702	7.9	0.7	0	0	970	10.9	6.4	0	0	225	2.5	2.1
